firstAuthor,IDP_dMRI_Trait,reportedTrait,samplesize,ftp,summaryStatistics,accessionId,efoTraits,genotypingTechnologies,pubmedId,publicationDate,journal,title,SampleDescription
Smith SM,AD_ACR_L,IDP dMRI L1 Anterior corona radiata L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004098/GCST90004098_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004098,GCST90004098,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_ACR_R,IDP dMRI L1 Anterior corona radiata R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004097/GCST90004097_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004097,GCST90004097,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_ALIC_L,IDP dMRI L1 Anterior limb of internal capsule L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004092/GCST90004092_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004092,GCST90004092,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_ALIC_R,IDP dMRI L1 Anterior limb of internal capsule R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004091/GCST90004091_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004091,GCST90004091,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_bCC,IDP dMRI L1 Body of corpus callosum,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004078/GCST90004078_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004078,GCST90004078,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_CGC_L,IDP dMRI L1 Cingulum cingulate gyrus L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004110/GCST90004110_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004110,GCST90004110,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_CGC_R,IDP dMRI L1 Cingulum cingulate gyrus R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004109/GCST90004109_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004109,GCST90004109,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_CGH_L,IDP dMRI L1 Cingulum hippocampus L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004112/GCST90004112_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004112,GCST90004112,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_CGH_R,IDP dMRI L1 Cingulum hippocampus R,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004111/GCST90004111_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004111,GCST90004111,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
Smith SM,AD_CP_L,IDP dMRI L1 Cerebral peduncle L,20860,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004090/GCST90004090_buildGRCh37.tsv,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90004001-GCST90005000/GCST90004090,GCST90004090,white matter integrity,Genome-wide genotyping array,33875891,19/04/2021,Nat Neurosci,An expanded set of genome-wide association studies of brain imaging phenotypes in UK Biobank.,British ancestry individuals
